dv,dv_label,quarter,coef,se,p_value,sig,r2,N
n_references,Reference Count,2024Q3,0.0,0.0,1.0,(ref),0.09922986120393074,67008
surprise_entropy,Shannon Entropy,2021Q1,-0.2678722079749585,0.1487570101980862,0.055035580357796654,*,0.1402452194135908,67008
surprise_entropy,Shannon Entropy,2021Q2,-0.07944407436231127,0.14871692897114883,0.5189770197673096,,0.1402452194135908,67008
surprise_entropy,Shannon Entropy,2021Q3,-0.06195644831989827,0.1474786896804735,0.6033979790874635,,0.1402452194135908,67008
surprise_entropy,Shannon Entropy,2021Q4,-0.10061321584231708,0.14599709248329862,0.4181431523305892,,0.1402452194135908,67008
surprise_entropy,Shannon Entropy,2022Q1,-0.05788781351704858,0.14842867879031424,0.6271870934218611,,0.1402452194135908,67008
surprise_entropy,Shannon Entropy,2022Q2,-0.039203348286300455,0.14535120048980513,0.7289178026572478,,0.1402452194135908,67008
surprise_entropy,Shannon Entropy,2022Q3,-0.10977079110028665,0.14724778653981485,0.385213518146871,,0.1402452194135908,67008
surprise_entropy,Shannon Entropy,2022Q4,-0.001088877347112549,0.1450297429418431,0.9915562325283096,,0.1402452194135908,67008
surprise_entropy,Shannon Entropy,2023Q1,0.0371645956247751,0.14813725278015077,0.7458482338673353,,0.1402452194135908,67008
surprise_entropy,Shannon Entropy,2023Q2,-0.027688724665741987,0.14445608037325008,0.8009153375523554,,0.1402452194135908,67008
surprise_entropy,Shannon Entropy,2023Q3,-0.04712461193376835,0.1459179658869061,0.682551711218041,,0.1402452194135908,67008
surprise_entropy,Shannon Entropy,2023Q4,0.1999061363287664,0.14778360628108098,0.13917511455200793,,0.1402452194135908,67008
surprise_entropy,Shannon Entropy,2024Q1,0.07669983381683382,0.1501111835596933,0.535453698000512,,0.1402452194135908,67008
surprise_entropy,Shannon Entropy,2024Q2,-0.012892579263832915,0.1470347082530158,0.9047837224869482,,0.1402452194135908,67008
surprise_entropy,Shannon Entropy,2024Q4,-0.07046133698145558,0.14958781208377306,0.5646039578552586,,0.1402452194135908,67008
surprise_entropy,Shannon Entropy,2025Q1,0.04691270357454197,0.15540008052339155,0.7006416786346452,,0.1402452194135908,67008
surprise_entropy,Shannon Entropy,2025Q2,0.10923013698676842,0.15260332797625706,0.40233567537666426,,0.1402452194135908,67008
surprise_entropy,Shannon Entropy,2025Q3,0.2876443861427725,0.14970095421587493,0.04168521036367179,**,0.1402452194135908,67008
surprise_entropy,Shannon Entropy,2025Q4,0.37126797187614374,0.1493760153657476,0.00965545769067333,***,0.1402452194135908,67008
surprise_entropy,Shannon Entropy,2024Q3,0.0,0.0,1.0,(ref),0.1402452194135908,67008
other_field_share,Other-Field Share,2021Q1,-0.06430770910834337,0.03835413693242259,0.07230896371312578,*,0.09337958550961334,67008
other_field_share,Other-Field Share,2021Q2,-0.0034634478614238486,0.04023105623071299,0.9064512051725624,,0.09337958550961334,67008
