paper_id,publication_date,year_month,field,subfield,num_authors,institutions_distinct_count,countries_distinct_count,type,language,n_references,n_references_resolved,n_distinct_fields_cited,within_field_share,citation_hhi,other_field_share,surprise_kl,surprise_entropy
https://openalex.org/W3157466257,2021-04-29,2021-04,Arts and Humanities,History,12,12,6,article,en,59,59,6,0.457627,0.360529,0.372881,0.894681,1.210974
https://openalex.org/W3157736686,2021-04-27,2021-04,Arts and Humanities,Literature and Literary Theory,1,1,1,article,en,4,4,2,0.5,0.5,0.0,0.392132,0.69315
https://openalex.org/W2102845526,2021-04-21,2021-04,Arts and Humanities,Language and Linguistics,1,1,0,article,en,15,14,3,0.642857,0.5,0.0,0.239177,0.830474
https://openalex.org/W4289668846,2021-04-23,2021-04,Arts and Humanities,Language and Linguistics,1,1,1,article,en,26,25,5,0.28,0.2736,0.0,0.96654,1.397548
https://openalex.org/W3155044322,2021-04-19,2021-04,Arts and Humanities,History and Philosophy of Science,3,3,3,article,en,117,104,8,0.509615,0.390348,0.019231,0.153399,1.20069
https://openalex.org/W3157515636,2021-04-25,2021-04,Arts and Humanities,Museology,2,2,1,article,en,4,4,2,0.75,0.625,0.0,0.355001,0.562338
https://openalex.org/W3154470291,2021-04-13,2021-04,Arts and Humanities,Religious studies,1,1,1,article,en,9,7,2,0.857143,0.755102,0.0,0.435244,0.410119
https://openalex.org/W4360790294,2021-04-14,2021-04,Arts and Humanities,Language and Linguistics,3,3,1,article,en,8,8,2,0.75,0.625,0.0,0.355001,0.562338
https://openalex.org/W3146260050,2021-04-01,2021-04,Arts and Humanities,Literature and Literary Theory,1,1,0,article,en,31,29,3,0.310345,0.526754,0.0,0.55982,0.756286
https://openalex.org/W3157879444,2021-04-27,2021-04,Arts and Humanities,Philosophy,1,1,1,article,en,18,18,4,0.722222,0.549383,0.0,0.30713,0.883878
https://openalex.org/W3171056164,2021-04-01,2021-04,Arts and Humanities,Literature and Literary Theory,1,1,1,article,en,7,7,4,0.285714,0.306122,0.0,0.652614,1.277037
https://openalex.org/W3167394603,2021-04-27,2021-04,Arts and Humanities,Language and Linguistics,1,1,1,article,en,41,28,5,0.392857,0.288265,0.0,0.629858,1.386863
